hhid,year,any_shock,n_shocks,total_loss_rs,cope_private_transfer,cope_sell_assets,cope_savings,cope_borrow,cope_gov_transfer,cope_remittance,cope_other_mech,primary_savings,primary_borrow,primary_sell_assets,primary_gov_transfer,primary_private_transfer,primary_remittance,primary_none,shock_type_economic_price,shock_type_natural_disaster,shock_type_other_shock,shock_type_agricultural,shock_type_illness,shock_type_death,shock_type_economic_job
98,2016,1,2,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
99,2016,1,1,5000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
99,2017,1,1,7020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,2018,1,1,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
100,2016,1,2,12000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
100,2017,1,1,17000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
101,2016,1,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
102,2016,1,2,45000,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
102,2018,1,1,24600,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
103,2016,1,4,66000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
103,2017,1,1,150000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
103,2018,1,1,45000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
104,2016,1,2,25000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
105,2016,1,2,62000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
105,2017,1,1,11200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
106,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
107,2016,1,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107,2017,1,2,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
107,2018,1,1,25000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
108,2016,1,1,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
108,2017,1,2,162000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
109,2016,1,1,100000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
109,2017,1,2,53000,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
110,2016,1,1,100000,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,2017,1,1,400000,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
111,2016,1,3,95000,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
111,2018,1,1,300000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,2016,1,1,30000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
112,2017,1,1,1000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
112,2018,1,1,100000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
113,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
115,2016,1,1,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
116,2016,1,1,12000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
117,2016,1,1,50000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
118,2016,1,1,350000,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,2016,1,1,300000,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
119,2017,1,1,6000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
120,2017,1,2,380000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
121,2018,1,1,30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
122,2016,1,2,23000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
122,2017,1,2,117700,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
122,2018,1,1,30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
123,2016,1,2,5500,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
124,2016,1,1,50000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
125,2018,1,1,120000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
126,2016,1,1,5000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,2016,1,2,203000,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
127,2017,1,1,100000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
