outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag3,0,3,lin_int,FALSE,lin/lin,0.0554461865338653,"",0.171324335179133,0.747116718476258,5,0.716186257619939,714,714,+0.055 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag3,25,3,lin_int,FALSE,lin/lin,0.0213807333725672,"",0.0801168715312476,0.790532939750557,5,0.655482876524281,469,475,+0.021 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag3,50,3,lin_int,FALSE,lin/lin,0.0413154283289459,"",0.071351499402784,0.564883622420189,5,0.668159224457614,399,401,+0.041 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag3,100,3,lin_int,FALSE,lin/lin,0.0539741907822488,"",0.0651513043045237,0.411606535853288,5,0.657962148658457,305,313,+0.054 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag4,0,4,lin_int,FALSE,lin/lin,0.0733643380294145,"",0.129579728852669,0.572967510430834,5,0.716186257619939,714,714,+0.073 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag4,25,4,lin_int,FALSE,lin/lin,0.0353655436296141,"",0.0695287992467252,0.612963594276756,5,0.655482876524281,469,475,+0.035 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag4,50,4,lin_int,FALSE,lin/lin,0.0531390691809881,"",0.0633111753408378,0.404852143879422,5,0.668159224457614,399,401,+0.053 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag4,100,4,lin_int,FALSE,lin/lin,0.0605307802724662,"",0.0616661659186167,0.331328800662195,5,0.657962148658457,305,313,+0.061 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag5,0,5,lin_int,FALSE,lin/lin,0.0695752273388054,"",0.126620186022484,0.58430873377897,5,0.716186257619939,714,714,+0.070 index pts (baseline 0.000),""
Firm age (cohort),nec_cs_post2001,median_firm_age_years_wmean,S_lin_lin_lag5,25,5,lin_int,FALSE,lin/lin,0.0349752619218748,"",0.0689822974723235,0.614098200126938,5,0.655482876524281,469,475,+0.035 index pts (baseline 0.000),""
