dataset,outcome,spec,threshold,lag,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,err
census,amen_assets_car,S0_baseline,25,0,FALSE,-0.00236694805797878,***,0.00070953342353613,0.000916950231407464,0.0144371932551387,0.0172204882008469,950,475,
census,amen_assets_car,S1_cmig_log,25,0,TRUE,0.00848155574355465,***,0.00307621102036252,0.00605592146682474,0.0144371932551387,0.0172204882008469,950,475,
census,amen_assets_car,S2_lag1,25,1,FALSE,-0.00244811225559813,***,0.000737782697992223,0.000975721611417634,0.0144371932551387,0.0172204882008469,950,475,
census,amen_assets_car,S3_lag2,25,2,FALSE,-0.0024341122770909,***,0.000745062651159721,0.0011658325464072,0.0144371932551387,0.0172204882008469,950,475,
census,amen_assets_car,S4_lag3,25,3,FALSE,-0.00233601828284783,***,0.000734143356953021,0.00155884118741209,0.0144371932551387,0.0172204882008469,950,475,
census,amen_assets_car,S5_lag4,25,4,FALSE,-0.00230007878492467,***,0.00073405788934378,0.00183516141237496,0.0144371932551387,0.0172204882008469,950,475,
census,amen_assets_car,S6_lag5,25,5,FALSE,-0.00229094196328295,***,0.000748882373977244,0.00234539803386688,0.0144371932551387,0.0172204882008469,950,475,
census,amen_assets_car,S7_lag10,25,10,FALSE,-0.000767457361877187,"",0.00176248855164729,0.663441560657202,0.0144371932551387,0.0172204882008469,950,475,
census,amen_assets_computer,S0_baseline,25,0,FALSE,-0.0048169837215701,***,0.00164035592836267,0.00348034045000404,0.0641021908365583,0.083480240479912,950,475,
census,amen_assets_computer,S1_cmig_log,25,0,TRUE,0.00904405846288895,"",0.00710194479501224,0.203478202623311,0.0641021908365583,0.083480240479912,950,475,
census,amen_assets_computer,S2_lag1,25,1,FALSE,-0.00493500487741918,***,0.00170147518428238,0.00389973901066404,0.0641021908365583,0.083480240479912,950,475,
census,amen_assets_computer,S3_lag2,25,2,FALSE,-0.00502823362658396,***,0.0017247900477387,0.00372208421443081,0.0641021908365583,0.083480240479912,950,475,
census,amen_assets_computer,S4_lag3,25,3,FALSE,-0.00472144436866409,***,0.0016911931450824,0.00545359843133951,0.0641021908365583,0.083480240479912,950,475,
census,amen_assets_computer,S5_lag4,25,4,FALSE,-0.00450170001614234,***,0.00168954551539229,0.00797444391320803,0.0641021908365583,0.083480240479912,950,475,
census,amen_assets_computer,S6_lag5,25,5,FALSE,-0.00454355302151572,***,0.0017362928323632,0.00915899826500659,0.0641021908365583,0.083480240479912,950,475,
census,amen_assets_computer,S7_lag10,25,10,FALSE,-0.000144138752154857,"",0.00353296074879381,0.96747388241369,0.0641021908365583,0.083480240479912,950,475,
census,amen_assets_cycle,S0_baseline,25,0,FALSE,0.00378238438539699,*,0.00216302645475149,0.0809982089408585,0.255511159741158,0.316363652467823,950,475,
census,amen_assets_cycle,S1_cmig_log,25,0,TRUE,-0.00906057895972123,"",0.00863925879074408,0.294819311730531,0.255511159741158,0.316363652467823,950,475,
census,amen_assets_cycle,S2_lag1,25,1,FALSE,0.00393032854876531,*,0.00224378577332689,0.080480632371374,0.255511159741158,0.316363652467823,950,475,
census,amen_assets_cycle,S3_lag2,25,2,FALSE,0.00387691289001005,*,0.00227320359428106,0.0887592966089667,0.255511159741158,0.316363652467823,950,475,
census,amen_assets_cycle,S4_lag3,25,3,FALSE,0.00383116195705388,*,0.00223497820367689,0.0871488136432178,0.255511159741158,0.316363652467823,950,475,
census,amen_assets_cycle,S5_lag4,25,4,FALSE,0.00387529282938911,*,0.00222644360237742,0.0824069697138679,0.255511159741158,0.316363652467823,950,475,
census,amen_assets_cycle,S6_lag5,25,5,FALSE,0.00391473896435507,*,0.00225132047567553,0.0827080364009787,0.255511159741158,0.316363652467823,950,475,
