dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,grid_c_mig,grid_c_fx,grid_block_set,grid_treatment
census,amen_lighting_kerosene,Amenities,tx_log_int_nocmig_cfx_blk_none,0,-0.015720899955664,***,0.322508890687332,-1.5720899955664,-4.87456327859971,0.00462830511081255,0.000719915984193624,2142,714,714,3,0.355554669705146,0.0183511994728869,,FALSE,TRUE,none,log_int
census,amen_lighting_biogas,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.000133609948117069,**,0.00177763841863936,0.0133609948117069,7.5161487688445,5.35371924835514e-05,0.0127976730665838,2142,714,714,3,0.00322661013209961,0.0026923261623536,,FALSE,TRUE,none,log_int
census,amen_lighting_others,Amenities,tx_log_int_nocmig_cfx_blk_none,0,-0.0205149568747565,***,0.090682250764139,-2.05149568747565,-22.6229021687112,0.00451738440099961,6.56196911995549e-06,2142,714,714,3,0.206672389712942,0.0252477669297146,,FALSE,TRUE,none,log_int
census,amen_toilet_modern,Amenities,tx_log_int_nocmig_cfx_blk_none,0,-0.0132579840376953,***,0.336634870833062,-1.32579840376953,-3.93838701406249,0.00464417277995956,0.00443205388770513,2142,714,714,3,0.293383631246549,0.0104292360242144,,FALSE,TRUE,none,log_int
census,amen_toilet_ordinary,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.0748431526003359,***,0.259704638520692,7.48431526003359,28.8185659781247,0.0057132830847674,2.74748425931429e-35,2142,714,714,3,0.191711767289333,0.170643103096074,,FALSE,TRUE,none,log_int
census,amen_toilet_none,Amenities,tx_log_int_nocmig_cfx_blk_none,0,-0.0612045795613875,***,0.395287102648561,-6.12045795613875,-15.483576152952,0.00352569867126098,1.43603694174772e-56,2142,714,714,3,0.331156431946023,0.232073673848042,,FALSE,TRUE,none,log_int
census,amen_toilet_any,Amenities,tx_log_int_nocmig_cfx_blk_none,0,0.0622103893294006,***,0.597969062636336,6.22103893294006,10.4036133667395,0.0035698166285237,6.30273299561037e-57,2142,714,714,3,0.335841072172858,0.236914126194952,,FALSE,TRUE,none,log_int
census,amen_assets_radio,Assets,tx_log_int_nocmig_cfx_blk_none,0,0.0158175882101849,***,0.442765044091116,1.58175882101849,3.57245641255496,0.00373194650236832,2.54675311014057e-05,1428,714,714,2,0.182099348365536,0.0786418879824149,,FALSE,TRUE,none,log_int
census,amen_assets_tv,Assets,tx_log_int_nocmig_cfx_blk_none,0,-0.0202016391078126,***,0.31878430498242,-2.02016391078126,-6.33708711253105,0.00232336952478275,2.37313865295445e-17,1428,714,714,2,0.207029709785699,0.105590743133523,,FALSE,TRUE,none,log_int
census,amen_assets_landline,Assets,tx_log_int_nocmig_cfx_blk_none,0,0.00279574589960472,***,0.0274360547364006,0.279574589960472,10.1900434536438,0.000531015614885375,1.85850516419922e-07,1428,714,714,2,0.0412461164585271,0.0459543741060662,,FALSE,TRUE,none,log_int
census,amen_assets_mobile,Assets,tx_log_int_nocmig_cfx_blk_none,0,0.0333786848379668,***,0.736893730839095,3.33786848379668,4.52964700893286,0.00296693080488959,3.83059321618733e-27,1428,714,714,2,0.21653386499115,0.191227474969775,,FALSE,TRUE,none,log_int
census,amen_assets_computer,Assets,tx_log_int_nocmig_cfx_blk_none,0,-0.00542863294067813,***,0.0505545902913793,-0.542863294067813,-10.738160292447,0.000697569437324445,2.50755170634011e-14,1428,714,714,2,0.0723458824544718,0.0801983260145978,,FALSE,TRUE,none,log_int
census,amen_assets_internet,Assets,tx_log_int_nocmig_cfx_blk_none,0,-0.0355295747101992,***,0.133022548537404,-3.55295747101992,-26.7094376862046,0.00382641753334949,1.90654455904148e-19,1428,714,714,2,0.180177985084859,0.130019364902866,,FALSE,TRUE,none,log_int
census,amen_assets_cycle,Assets,tx_log_int_nocmig_cfx_blk_none,0,0.00154014839478106,"",0.262381245225638,0.154014839478106,0.586988751218323,0.00115211837335406,0.181715282065887,1428,714,714,2,0.326180363589175,0.0111977899174934,,FALSE,TRUE,none,log_int
census,amen_assets_motorcycle,Assets,tx_log_int_nocmig_cfx_blk_none,0,0.00498936816151651,**,0.115020626504345,0.498936816151651,4.33780297773635,0.00224001922629991,0.0262334566456252,1428,714,714,2,0.129711343814126,0.00699232933140381,,FALSE,TRUE,none,log_int
