"lgcode","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec"
70407,2007,14884,13,0.000873421123353937,0.235893249938462,0.0103290896538462,0.00994219245384615,0,0,0.000206034147352862,0.00000902164508868584,0.00000868372090163934,0,0,3.0666122492,0.1342781655,0.1292485019,0,0
70407,2008,14884,13,0.000873421123353937,0.224099368261538,-0.0117331436153846,-0.0122922502230769,0,0,0.000195733121969901,-0.0000102479754770223,-0.0000107363109983875,0,0,2.9132917874,-0.152530867,-0.1597992529,0,0
70407,2009,14884,13,0.000873421123353937,0.210895016153846,-0.0135083977384615,-0.0141576952461538,0,0,0.000184200161918839,-0.0000117985199274389,-0.0000123656300859984,0,0,2.74163521,-0.1756091706,-0.1840500382,0,0
70407,2010,14884,13,0.000873421123353937,0.214839282330769,0.00397469061538462,0.0038443941,0,0,0.000187645167313894,0.00000347157874227358,0.00000335777501343725,0,0,2.7929106703,0.051670978,0.0499771233,0,0
70407,2011,14884,13,0.000873421123353937,0.209603229307692,-0.00669307116153846,-0.00701019654615385,-0.0211660014615385,-0.0251845574692308,0.000183071888000537,-0.00000584586973259876,-0.00000612285374227358,-0.000018486832773448,-0.0000219967244759473,2.724841981,-0.0870099251,-0.0911325551,-0.275158019,-0.3273992471
70407,2012,14884,13,0.000873421123353937,0.191439132976923,-0.0210858506769231,-0.0226130300846154,0,0,0.000167206982578608,-0.0000184168273851115,-0.0000197506981389411,0,0,2.4887087287,-0.2741160588,-0.2939693911,0,0
70407,2013,14884,13,0.000873421123353937,0.182106824153846,-0.0125895989923077,-0.0131630660230769,0,0,0.00015905594692287,-0.000010996021694437,-0.0000114968999126579,0,0,2.367388714,-0.1636647869,-0.1711198583,0,0
70407,2014,14884,13,0.000873421123353937,0.177326810476923,-0.00660529661538462,-0.00673511302307692,0,0,0.000154880982007525,-0.00000576920558989519,-0.00000588258998253158,0,0,2.3052485362,-0.085868856,-0.0875564693,0,0
70407,2015,14884,13,0.000873421123353937,0.176039876830769,-0.000947759815384615,-0.00107958045384615,0,0,0.000153756946976619,-0.000000827793442622951,-0.000000942928372749261,0,0,2.2885183988,-0.0123208776,-0.0140345459,0,0
70407,2016,14884,13,0.000873421123353937,0.171542233992308,-0.00686057813076923,-0.00701475383076923,0,0,0.000149828610716205,-0.00000599217385783392,-0.0000061268341709218,0,0,2.2300490419,-0.0891875157,-0.0911917998,0,0
